,Placement,Clicks,Impr.,Placement url
0,7654soft.com,0,10,http://7654soft.com
1,"Mobile App: 2 For 2 (iTunes App Store), by CRAZY LABS BY TABTALE , G.P.",0,6,https://itunes.apple.com/us/app/id1213354902
2,"Mobile App: 2048 (Google Play), by Androbaby",0,12,https://play.google.com/store/apps/details?id=com.androbaby.game2048
3,"Mobile App: 3D Rescue Cut - Rope Puzzle 2020 (Google Play), by Sam Soul",0,6,https://play.google.com/store/apps/details?id=com.rescuecut.ropegames.puzzlesunique.free
4,"Mobile App: 4th Talent Search | चौथी प्रज्ञाशोध (Google Play), by TechAid Guruji",0,6,https://play.google.com/store/apps/details?id=copy.apawc
5,"Mobile App: ABC Solitaire by SZY (iTunes App Store), by ZHONGYUAN SHEN",0,6,https://itunes.apple.com/us/app/id478557130
6,"Mobile App: ABP Live TV News - Latest Hindi, Breaking News APP (Google Play), by ABP News Network",0,18,https://play.google.com/store/apps/details?id=com.winit.starnews.hin
7,"Mobile App: AIO Phone Booster (Google Play), by AIO TEAM",0,12,https://play.google.com/store/apps/details?id=com.happymod.apk
8,"Mobile App: ASMR Slicing (Google Play), by Crazy Labs by TabTale",0,6,https://play.google.com/store/apps/details?id=com.crazylabs.asmr.cut
9,"Mobile App: AVG AntiVirus 2020 for Android Security Free (Google Play), by AVG Mobile",0,8,https://play.google.com/store/apps/details?id=com.antivirus
10,"Mobile App: AW - free video calls and chat (Google Play), by AW Inc.",0,24,https://play.google.com/store/apps/details?id=com.androidworks.videocalling
11,"Mobile App: AZ Screen Recorder - Video Recorder, Livestream (Google Play), by AZ Screen Recorder",0,6,https://play.google.com/store/apps/details?id=com.hecorat.screenrecorder.free
12,"Mobile App: Addons Creator for Minecraft PE (Google Play), by Master for Minecraft",0,6,https://play.google.com/store/apps/details?id=com.appscreat.addonsforminecraftpe
13,"Mobile App: Alarmy-Loud Alarm Sounds,Math Alarm Clock for Free (Google Play), by Alarm Clock Alarmy",0,5,https://play.google.com/store/apps/details?id=droom.sleepIfUCan
14,"Mobile App: All Document Manager-Read All Office Documents (Google Play), by Apstan Studio",0,5,https://play.google.com/store/apps/details?id=docments.reader.documentmanager.free
15,"Mobile App: All Language Translator Free: Translate App 2020 (Google Play), by XEN Studios",0,6,https://play.google.com/store/apps/details?id=com.xen.all.language.translator.free
16,"Mobile App: American Luxury and Sports Cars (Google Play), by DMNK Studio",0,8,https://play.google.com/store/apps/details?id=com.DominikKotlarUSALC
17,"Mobile App: Anandabazar Patrika - Bengali News, Official App (Google Play), by ABP Official App",0,66,https://play.google.com/store/apps/details?id=com.anandabazarpatrika
18,"Mobile App: AndhraPrabha Official App (iTunes App Store), by Goutam Mootha",0,6,https://itunes.apple.com/us/app/id996853315
19,"Mobile App: Anniversary Video Maker with Song & Music (Google Play), by Magic Bit - Particle.ly",0,6,https://play.google.com/store/apps/details?id=com.anniversarymoviemakerwithsong.photovideomaker.animationmaker
20,"Mobile App: App Lock & Photo Vault - Security Plus (Google Play), by KewlApps",0,6,https://play.google.com/store/apps/details?id=security.plus.applock.callblocker.lockscreen
21,"Mobile App: AppLock (Google Play), by KewlApps",0,12,https://play.google.com/store/apps/details?id=com.gamemalt.applocker
22,"Mobile App: AppLock (Google Play), by Lite Tools Studio",0,59,https://play.google.com/store/apps/details?id=com.litetools.applockpro
23,"Mobile App: AppLock - Advanced Protection (Google Play), by security protect",0,5,https://play.google.com/store/apps/details?id=com.Protect_Utilities.AppLock_AdvancedProtection
24,"Mobile App: Art Number Coloring - Color by Number (Google Play), by Color Joy",0,6,https://play.google.com/store/apps/details?id=com.pcoloring.art.puzzle.color.by.number
25,"Mobile App: Asianet News Official: Latest News, Live TV App (Google Play), by Asianet News Media & Entertainment Private Limited",0,6,https://play.google.com/store/apps/details?id=com.vserv.asianet
26,"Mobile App: Assamese Keyboard (Google Play), by Abbott Cullen",0,7,https://play.google.com/store/apps/details?id=com.mykeyboard.myphotokeyboard.assamesekeyboard
27,"Mobile App: Audio MP3 Cutter Mix Converter and Ringtone Maker (Google Play), by AppzCloud Technologies",0,5,https://play.google.com/store/apps/details?id=com.appzcloud.audioeditor
28,"Mobile App: Avast Antivirus – Mobile Security & Virus Cleaner (Google Play), by Avast Software",0,5,https://play.google.com/store/apps/details?id=com.avast.android.mobilesecurity
29,"Mobile App: Awabe Translate : Translate All Languages (Google Play), by AWABE",0,5,https://play.google.com/store/apps/details?id=com.awabe.aatranslate
30,"Mobile App: Azar (Google Play), by Hyperconnect inc",0,24,https://play.google.com/store/apps/details?id=com.azarlive.android
31,"Mobile App: Background Eraser (Google Play), by handyCloset Inc.",0,34,https://play.google.com/store/apps/details?id=com.handycloset.android.eraser
32,"Mobile App: Balls Break Bricks - Fun Time Killing Game (Google Play), by Monnie Max",0,5,https://play.google.com/store/apps/details?id=com.acoin.breakbricks.balls
33,"Mobile App: Bead 16 - Sholo Guti, Sixteen Soldiers Game Online (Google Play), by Align It Games",0,5,https://play.google.com/store/apps/details?id=com.alignit.sixteenbead
34,"Mobile App: Beauty Makeup Editor: Selfie Camera, Photo Editor (Google Play), by Lyrebird Studio",0,6,https://play.google.com/store/apps/details?id=com.lyrebirdstudio.beauty
35,"Mobile App: Bible Word Cross Puzzle - Best Free Word Games (Google Play), by Fantasy Word Games",0,11,https://play.google.com/store/apps/details?id=wordcross.bible.wordscapes.word.cookies.puzzle.collect.word.games
