,Placement,Clicks,Impr.,ctr,Placement url
91,"Mobile App: ShareChat - Made in India (Google Play), by ShareChat",63,2645,0.023818525519848772,https://play.google.com/store/apps/details?id=in.mohalla.sharechat
110,"Mobile App: VidStatus - Share Your Video Status (Google Play), by VidStatus Team",52,1946,0.02672147995889003,https://play.google.com/store/apps/details?id=com.vivashow.share.video.chat
131,mobileapp::2-com.miui.cleanmaster,19,567,0.03350970017636684,https://play.google.com/store/apps/details?id=com.miui.cleanmaster
22,"Mobile App: Bubble Shooter (Google Play), by Bubble Shooter",17,2227,0.007633587786259542,https://play.google.com/store/apps/details?id=bubbleshooter.orig
62,"Mobile App: MV Master - Make Your Status Video & Community (Google Play), by XYZ ONLINE",15,503,0.02982107355864811,https://play.google.com/store/apps/details?id=com.newbiz.mvmaster
115,"Mobile App: WPS Office - Free Office Suite for Word,PDF,Excel (Google Play), by Kingsoft Office Software Corporation Limited",12,548,0.021897810218978103,https://play.google.com/store/apps/details?id=cn.wps.moffice_eng
101,"Mobile App: Subway Princess Runner (Google Play), by Ivy",11,176,0.0625,https://play.google.com/store/apps/details?id=com.rioo.runnersubway
19,"Mobile App: Boo - Video Status Maker (Google Play), by The One World Apps",10,233,0.04291845493562232,https://play.google.com/store/apps/details?id=videostatusmaker.videostatus.boo
96,"Mobile App: StarMaker: Sing free Karaoke, Record music videos (Google Play), by StarMaker Interactive",9,784,0.011479591836734694,https://play.google.com/store/apps/details?id=com.starmakerinteractive.starmaker
60,"Mobile App: Lyrical.ly - Lyrical Video Status Maker (Google Play), by lyrical.ly",9,274,0.032846715328467155,https://play.google.com/store/apps/details?id=com.opex.makemyvideostatus
58,"Mobile App: Ludo King™ (Google Play), by Gametion Technologies Pvt Ltd",8,535,0.014953271028037384,https://play.google.com/store/apps/details?id=com.ludo.king
59,"Mobile App: Ludo SuperStar (Google Play), by BlackLight Studio Games",7,269,0.026022304832713755,https://play.google.com/store/apps/details?id=com.blacklightsw.ludo
78,"Mobile App: Photo Slideshow with Music (Google Play), by Opals Apps",7,55,0.12727272727272726,https://play.google.com/store/apps/details?id=com.opalsapps.photoslideshowwithmusic
16,"Mobile App: Block Puzzle Jewel (Google Play), by hua weiwei",6,434,0.013824884792626729,https://play.google.com/store/apps/details?id=com.differencetenderwhite.skirt
124,aajtak.in,5,90,0.05555555555555555,http://aajtak.in
63,"Mobile App: Mi Video (Google Play), by Xiaomi Inc.",5,215,0.023255813953488372,https://play.google.com/store/apps/details?id=com.miui.videoplayer
3,"Mobile App: Aaj Tak Live TV News - Latest Hindi India News App (Google Play), by TV Today Network Limited",5,113,0.04424778761061947,https://play.google.com/store/apps/details?id=in.AajTak.headlines
70,"Mobile App: Numpuz: Classic Number Games, Num Riddle Puzzle (Google Play), by DoPuz Games",5,240,0.020833333333333332,https://play.google.com/store/apps/details?id=com.dopuz.klotski.riddle
