Placement,Placement url,Type,Ad group,Views,Currency code,Avg. CPV,Impr.,View rate,Cost,Conversions,Cost / conv.,Conv. rate
Blu's Studio,http://youtube.com/channel/UC7m6OSDF6f8We4Kgaij89TQ,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Triforcefilms,http://youtube.com/channel/UCoDO3V3k1iG-hRGJxLLsY6A,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
GoonCartoons,http://youtube.com/channel/UCKTHJVq9B4aw1enKz1nWhUw,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
Butterfly black subs,http://youtube.com/channel/UCEcLa606RTYxOyuoHOiVpLw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Bella e Sofia Macedo,http://youtube.com/channel/UCuZh6cZgT2SMUlSheuFOixw,YouTube channel,AdGroup #1,1,USD,0.01,2,50.00%,0.01,0.00,0.00,0.00%
Taryn - Topic,http://youtube.com/channel/UCv4bGhE32kB35SHroLNdhfg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Adviceversas,http://youtube.com/channel/UCXgijVBQ3xr8BgCW9bBX9_w,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Capscake,http://youtube.com/channel/UCRyy-wMJY28ZtqtNr4GcxUQ,YouTube channel,AdGroup #1,3,USD,0.01,3,100.00%,0.02,0.00,0.00,0.00%
anuviscrack,http://youtube.com/channel/UCfpdKrV37kXI7mHSVjgjynw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Kristine Blix Davidsen,http://youtube.com/channel/UCEatTYr-wUMxevWH47J4ZKg,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Daniel Coz,http://youtube.com/channel/UCeHejtcip2ZCcY5-k59gGWw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
CGMeetup,http://youtube.com/channel/UCrSvhrtUgpZT3EU0x1Zoy-w,YouTube channel,AdGroup #1,13,USD,0.01,24,54.17%,0.08,0.00,0.00,0.00%
TheLeoLegendary10,http://youtube.com/channel/UC1tPdzzfoug5M2NGs_iMtVw,YouTube channel,AdGroup #1,1,USD,0.00,2,50.00%,0.00,0.00,0.00,0.00%
Cinema Ivis,http://youtube.com/channel/UCiBgiLAI6dKSxkjlV4atvTA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Funny Stop Motion Cooking,http://youtube.com/channel/UCayskv9f7BBHFWDViRcu9Ag,YouTube channel,AdGroup #1,3,USD,0.01,6,50.00%,0.02,0.00,0.00,0.00%
La Zona Cero,http://youtube.com/channel/UCwi7FK3XDDwhioq1hV8Zmqg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Azure Crystal,http://youtube.com/channel/UCTATms4U8NXO5ifrF2Fn_lg,YouTube channel,AdGroup #1,5,USD,0.01,5,100.00%,0.04,0.00,0.00,0.00%
Sweet Honey,http://youtube.com/channel/UCITyC69PrA_eYj105iJBvuA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
MELF,http://youtube.com/channel/UC4g8s1ssMZVISgVf7BnnQeQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
DisneyMusicAsiaVEVO,http://youtube.com/channel/UCB_QWj45Jy4LjxhrBhsw1WA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
DeToxoMoroxo,http://youtube.com/channel/UCq_oSgHK9lk6NUUgkhUOPnw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
Lyrics music,http://youtube.com/channel/UClBCklsoJIRlpRAp9OOKOMA,YouTube channel,AdGroup #1,1,USD,0.00,2,50.00%,0.00,0.00,0.00,0.00%
DRAMA JAPAN,http://youtube.com/channel/UC0ZS5uoffMI38pZYso11xFg,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
szin,http://youtube.com/channel/UCrzYfbkW3iKGqMYyERSr_Cw,YouTube channel,AdGroup #1,6,USD,0.00,6,100.00%,0.01,0.00,0.00,0.00%
Kluna Tik 3,http://youtube.com/channel/UCXwtO_YYmph_Wv27gzwGyfQ,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.02,0.00,0.00,0.00%
Trailer Park,http://youtube.com/channel/UCRMyYnrPaoiLtSMzgEUrSHQ,YouTube channel,AdGroup #1,1,USD,0.00,2,50.00%,0.00,0.00,0.00,0.00%
DIY Cardboard House,http://youtube.com/channel/UClanrRXegt2sMrzT5lp2bEA,YouTube channel,AdGroup #1,2,USD,0.01,5,40.00%,0.01,0.00,0.00,0.00%
Yurizando Games,http://youtube.com/channel/UCRoFadNzkqZibxNuH1_uqTg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
CG Full,http://youtube.com/channel/UCkWikoyGKZVXL1zXe2RbLmw,YouTube channel,AdGroup #1,5,USD,0.01,6,83.33%,0.04,0.00,0.00,0.00%
Como Deberia Haber Terminado,http://youtube.com/channel/UCgyhGX2FNKqDJwU0-Nw4wUg,YouTube channel,AdGroup #1,4,USD,0.02,5,80.00%,0.06,0.00,0.00,0.00%
Cubic Animations,http://youtube.com/channel/UCeM736Esh_lwk1xDAoGikFA,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
ArgomExperience,http://youtube.com/channel/UCektPJtS7fqJIJTOzHkcfHw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
Crossover Animation,http://youtube.com/channel/UCF7jpEjHoj1_ryJDljft5Jg,YouTube channel,AdGroup #1,2,USD,0.03,2,100.00%,0.05,0.00,0.00,0.00%
T3ddy,http://youtube.com/channel/UC5mZsx_OVnc4XmG9rWU2p3A,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
World Of Games,http://youtube.com/channel/UCwVybImr_rQGsaO4bvjIWcw,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.00,0.00,0.00,0.00%
Ashe - Topic,http://youtube.com/channel/UCu4DT36ncDBhuBo1w_vZsFg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
lozaus1,http://youtube.com/channel/UC59jm6JUT_PNciq8XNHDCbA,YouTube channel,AdGroup #1,25,USD,0.01,87,28.74%,0.13,0.00,0.00,0.00%
dominicrusho,http://youtube.com/channel/UCJeDhQNIsrelOShEpivSjPA,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
IDEAS EN 5 MINUTOS,http://youtube.com/channel/UC_OLtzRJdg0MJfiqGWAAIHw,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
NamikoTC,http://youtube.com/channel/UCt1OJy0xLyyGto2_ZXCFTuQ,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.03,0.00,0.00,0.00%
high5toons,http://youtube.com/channel/UCZdACoR-FsQsCpPKGNy5Snw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Caseirices Kids,http://youtube.com/channel/UCZlzKyTTEZOk5zHq87_WecA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
AnoKira Senpai,http://youtube.com/channel/UC-URGZqEJShChMu-ih6ZWRg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Yeppug예뿍이의 작업방,http://youtube.com/channel/UCTNeMSfmFewVnR4UfaLzntg,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Ter,http://youtube.com/channel/UCCNgRIfWQKZyPkNvHEzPh7Q,YouTube channel,AdGroup #1,2,USD,0.00,3,66.67%,0.01,0.00,0.00,0.00%
kanashiipanda,http://youtube.com/channel/UCNqLqWJiHwspDRPtJCOqlEQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
MHRAP,http://youtube.com/channel/UC_4PRrKey0iv18cqHuj9CLA,YouTube channel,AdGroup #1,3,USD,0.00,3,100.00%,0.01,0.00,0.00,0.00%
David Allegre,http://youtube.com/channel/UC9kYYvdHPD_1D7pwYbuPYiw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Hiyoko-chan,http://youtube.com/channel/UCjiKKOnXL0nR1oJgpYj4DYA,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
