Placement,Placement url,Type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
"Mobile App: Red rose live wallpaper (Google Play), by Live wallpapers 2020",https://play.google.com/store/apps/details?id=wallpapers2017.live.wallpaper.valentines.day,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Extra Volume Booster - loud sound speaker (Google Play), by Magic Mobile Studio",https://play.google.com/store/apps/details?id=com.music.sound.speaker.volume.booster.equalizer,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Sudoku (Google Play), by http",https://play.google.com/store/apps/details?id=com.http.sudoku,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Mi Video (Google Play), by Xiaomi Inc.",https://play.google.com/store/apps/details?id=com.miui.videoplayer,Mobile application,5,215,2.33%,USD,0.01,0.07,0.00,0.00,0.00%
"Mobile App: love lock screen (Google Play), by highsecure",https://play.google.com/store/apps/details?id=com.highsecure.lovelockscreen,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Hindu GOD Wallpapers (Google Play), by HD Wallpapers Studio",https://play.google.com/store/apps/details?id=frontdoor.LordWallpapers,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Chess Online - Duel friends online! (Google Play), by Hagstrom Dev",https://play.google.com/store/apps/details?id=com.hagstrom.henrik.chess,Mobile application,0,12,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: PDF Reader 2020 – PDF Viewer, Scanner & Converter (Google Play), by Cute Wallpapers Studio",https://play.google.com/store/apps/details?id=com.cutestudio.pdfviewer,Mobile application,2,13,15.38%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Jagbani Punjabi App (Google Play), by Punjab Kesari",https://play.google.com/store/apps/details?id=com.jagbani,Mobile application,0,10,0.00%,USD, --,0.00,0.00,0.00,0.00%
boltmob.com,http://boltmob.com,Site,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: My Talking Tom Friends (Google Play), by Outfit7 Limited",https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfriends,Mobile application,0,13,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: MP3 Video Converter (Google Play), by Springwalk, Inc.",https://play.google.com/store/apps/details?id=com.springwalk.mediaconverter,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
